"Name","Location","Type","Data Type","Namespace","Source","Reference Count","Offcut Ref Count"
"CoCreateInstance","External[003eee0c]","External Function","HRESULT","OLE32.DLL","Imported","3","0"
"CoInitialize","External[003eee20]","External Function","HRESULT","OLE32.DLL","Imported","3","0"
"CoInitializeEx","External[003eee30]","External Function","HRESULT","OLE32.DLL","Imported","2","0"
"D3DXCompileShader","External[003eee5a]","External Function","undefined","D3DX9_35.DLL","Imported","3","0"
"D3DXCreateEffectCompiler","External[003eee6e]","External Function","undefined","D3DX9_35.DLL","Imported","3","0"
"D3DXCreateBuffer","External[003eee8a]","External Function","undefined","D3DX9_35.DLL","Imported","3","0"
"Ordinal_2","External[80000002]","External Function","undefined","XINPUT1_3.DLL","Imported","3","0"
"Ordinal_2","External[80000002]","External Function","undefined","OLEAUT32.DLL","Imported","5","0"
"Ordinal_3","External[80000003]","External Data","","XINPUT1_3.DLL","Imported","1","0"
"Ordinal_4","External[80000004]","External Function","undefined","XINPUT1_3.DLL","Imported","3","0"
"Ordinal_6","External[80000006]","External Function","undefined","OLEAUT32.DLL","Imported","5","0"
"Ordinal_11","External[8000000b]","External Function","undefined","DSOUND.DLL","Imported","3","0"
"`vector_constructor_iterator'","00401080","Function","void","Global","Analysis","1","0"
"??_H@YGXPAXIHP6EPAX0@Z@Z","00401080","Function","","Global","Analysis","0","0"
"FUN_00401100","00401100","Function","undefined","Global","Default","1","0"
"switchD","00401149","Instruction Label","","switchD_00401149","Analysis","0","0"
"caseD_6","00401150","Instruction Label","","switchD_00401149","Analysis","2","0"
"caseD_0","00401161","Instruction Label","","switchD_00401149","Analysis","2","0"
"caseD_1","00401172","Instruction Label","","switchD_00401149","Analysis","3","0"
"caseD_2","00401172","Instruction Label","","switchD_00401149","Analysis","0","0"
"caseD_3","00401183","Instruction Label","","switchD_00401149","Analysis","4","0"
"caseD_4","00401183","Instruction Label","","switchD_00401149","Analysis","0","0"
"caseD_5","00401183","Instruction Label","","switchD_00401149","Analysis","0","0"
"default","00401193","Instruction Label","","switchD_00401149","Analysis","1","0"
"switchdataD_00401194","00401194","Data Label","pointer","switchD_00401149","Analysis","1","0"
"InitOnce","004011e0","Function","undefined","Global","User Defined","1","0"
"FUN_004015e0","004015e0","Function","undefined4","Global","Default","3","0"
"FUN_004017b0","004017b0","Function","undefined","Global","Default","1","0"
"FUN_004017c0","004017c0","Function","undefined","Global","Default","1","0"
"FUN_00401820","00401820","Function","undefined","Global","Default","1","0"
"FUN_00401850","00401850","Function","undefined4","Global","Default","1","0"
"FUN_00401860","00401860","Function","undefined4","Global","Default","1","0"
"FUN_00401870","00401870","Function","undefined","Global","Default","1","0"
"FUN_004018a0","004018a0","Function","undefined","Global","Default","2","0"
"FUN_00401900","00401900","Function","undefined4 *","Global","Default","1","0"
"FUN_00401940","00401940","Function","undefined4","Global","Default","1","0"
"FUN_00401d60","00401d60","Function","undefined4","Global","Default","1","0"
"FUN_00401e10","00401e10","Function","undefined4","Global","Default","1","0"
"FUN_00401e40","00401e40","Function","undefined","Global","Default","1","0"
"FUN_004027a0","004027a0","Function","undefined","Global","Default","1","0"
"FUN_00402890","00402890","Function","void *","Global","Default","1","0"
"FUN_00402910","00402910","Function","undefined","Global","Default","1","0"
"FUN_004029e0","004029e0","Function","undefined","Global","Default","1","0"
"FUN_00402b80","00402b80","Function","undefined","Global","Default","1","0"
"FUN_00402c30","00402c30","Function","undefined","Global","Default","1","0"
"FUN_00402ce0","00402ce0","Function","undefined","Global","Default","1","0"
"FUN_00402e00","00402e00","Function","int","Global","Default","2","0"
"FUN_00402eb0","00402eb0","Function","undefined","Global","Default","1","0"
"FUN_00403240","00403240","Function","undefined","Global","Default","1","0"
"FUN_00403300","00403300","Function","undefined","Global","Default","1","0"
"FUN_00403450","00403450","Function","int","Global","Default","1","0"
"FUN_00403630","00403630","Function","undefined","Global","Default","1","0"
"FUN_004036a0","004036a0","Function","undefined","Global","Default","2","0"
"FUN_00403c60","00403c60","Function","undefined","Global","Default","1","0"
"FUN_00403cb0","00403cb0","Function","float10","Global","Default","1","0"
"FUN_00403cf0","00403cf0","Function","ulonglong","Global","Default","1","0"
"FUN_00403e70","00403e70","Function","bool","Global","Default","1","0"
"FUN_00403ea0","00403ea0","Function","undefined8","Global","Default","1","0"
"FUN_00403f60","00403f60","Function","undefined8","Global","Default","2","0"
"FUN_00404620","00404620","Function","undefined8","Global","Default","1","0"
"FUN_00404850","00404850","Function","undefined4","Global","Default","2","0"
"FUN_00404990","00404990","Function","undefined","Global","Default","1","0"
"FUN_00404a50","00404a50","Function","undefined4","Global","Default","1","0"
"FUN_00404c90","00404c90","Function","undefined","Global","Default","1","0"
"FUN_00404d00","00404d00","Function","bool","Global","Default","1","0"
"FUN_00404dc0","00404dc0","Function","undefined","Global","Default","1","0"
"FUN_00404e30","00404e30","Function","undefined","Global","Default","4","0"
"FUN_00404f10","00404f10","Function","char","Global","Default","1","0"
"FUN_00404f30","00404f30","Function","undefined","Global","Default","2","0"
"FUN_00404fa0","00404fa0","Function","undefined4","Global","Default","4","0"
"FUN_004050c0","004050c0","Function","undefined","Global","Default","2","0"
"FUN_004058a0","004058a0","Function","bool","Global","Default","1","0"
"FUN_00405ac0","00405ac0","Function","undefined","Global","Default","1","0"
"FUN_00405d70","00405d70","Function","undefined4","Global","Default","1","0"
"FUN_00406030","00406030","Function","undefined4","Global","Default","3","0"
"switchD","0040630c","Instruction Label","","switchD_0040630c","Analysis","0","0"
"caseD_1","00406313","Instruction Label","","switchD_0040630c","Analysis","2","0"
"caseD_2","004063da","Instruction Label","","switchD_0040630c","Analysis","2","0"
"caseD_3","00406454","Instruction Label","","switchD_0040630c","Analysis","2","0"
"caseD_4","004064dc","Instruction Label","","switchD_0040630c","Analysis","2","0"
"caseD_5","00406523","Instruction Label","","switchD_0040630c","Analysis","2","0"
"default","004066f4","Instruction Label","","switchD_0040630c","Analysis","11","0"
"switchdataD_0040675c","0040675c","Data Label","pointer","switchD_0040630c","Analysis","1","0"
"FUN_004068d0","004068d0","Function","undefined4","Global","Default","1","0"
"FUN_00407ad0","00407ad0","Function","undefined","Global","Default","2","0"
"FUN_00407b60","00407b60","Function","undefined","Global","Default","1","0"
"FUN_00407d00","00407d00","Function","int","Global","Default","1","0"
"FUN_00407e40","00407e40","Function","int","Global","Default","5","0"
"FUN_004087a0","004087a0","Function","float10","Global","Default","1","0"
"FUN_00408800","00408800","Function","undefined","Global","Default","1","0"
"FUN_00408880","00408880","Function","int *","Global","Default","2","0"
"FUN_00408960","00408960","Function","undefined","Global","Default","2","0"
"FUN_00408a40","00408a40","Function","undefined","Global","Default","1","0"
"FUN_00408af0","00408af0","Function","undefined","Global","Default","1","0"
"FUN_00409980","00409980","Function","undefined","Global","Default","1","0"
"FUN_0040a2a0","0040a2a0","Function","int","Global","Default","1","0"
"FUN_0040a520","0040a520","Function","float10","Global","Default","1","0"
"switchD","0040a52a","Instruction Label","","switchD_0040a52a","Analysis","0","0"
"caseD_1","0040a531","Instruction Label","","switchD_0040a52a","Analysis","2","0"
"caseD_2","0040a538","Instruction Label","","switchD_0040a52a","Analysis","2","0"
"caseD_3","0040a53f","Instruction Label","","switchD_0040a52a","Analysis","2","0"
"caseD_0","0040a546","Instruction Label","","switchD_0040a52a","Analysis","3","0"
"switchdataD_0040a550","0040a550","Data Label","pointer","switchD_0040a52a","Analysis","1","0"
"FUN_0040a570","0040a570","Function","undefined","Global","Default","2","0"
"switchD","0040a814","Instruction Label","","switchD_0040a814","Analysis","0","0"
"caseD_8","0040a81b","Instruction Label","","switchD_0040a814","Analysis","2","0"
"caseD_1b","0040a831","Instruction Label","","switchD_0040a814","Analysis","2","0"
